exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
488,0.2,150,60,34,1000,1000000,100000
489,0.3,150,60,34,1000,1000000,100000
490,0.4,150,60,34,1000,1000000,100000
491,0.5,150,60,34,1000,1000000,100000
492,0.6,150,60,34,1000,1000000,100000
493,0.7,150,60,34,1000,1000000,100000
494,0.8,150,60,34,1000,1000000,100000
495,0.9,150,60,34,1000,1000000,100000
496,0.1,160,60,34,1000,1000000,100000
497,0.2,160,60,34,1000,1000000,100000
498,0.3,160,60,34,1000,1000000,100000
499,0.4,160,60,34,1000,1000000,100000
500,0.5,160,60,34,1000,1000000,100000
501,0.6,160,60,34,1000,1000000,100000
502,0.7,160,60,34,1000,1000000,100000
503,0.8,160,60,34,1000,1000000,100000
504,0.9,160,60,34,1000,1000000,100000
505,0.1,170,60,34,1000,1000000,100000
506,0.2,170,60,34,1000,1000000,100000
507,0.3,170,60,34,1000,1000000,100000
508,0.4,170,60,34,1000,1000000,100000
509,0.5,170,60,34,1000,1000000,100000
510,0.6,170,60,34,1000,1000000,100000
511,0.7,170,60,34,1000,1000000,100000
512,0.8,170,60,34,1000,1000000,100000
513,0.9,170,60,34,1000,1000000,100000
514,0.1,180,60,34,1000,1000000,100000
515,0.2,180,60,34,1000,1000000,100000
516,0.3,180,60,34,1000,1000000,100000
517,0.4,180,60,34,1000,1000000,100000
518,0.5,180,60,34,1000,1000000,100000
519,0.6,180,60,34,1000,1000000,100000
520,0.7,180,60,34,1000,1000000,100000
521,0.8,180,60,34,1000,1000000,100000
522,0.9,180,60,34,1000,1000000,100000
523,0.1,190,60,34,1000,1000000,100000
524,0.2,190,60,34,1000,1000000,100000
525,0.3,190,60,34,1000,1000000,100000
526,0.4,190,60,34,1000,1000000,100000
527,0.5,190,60,34,1000,1000000,100000
528,0.6,190,60,34,1000,1000000,100000
529,0.7,190,60,34,1000,1000000,100000
530,0.8,190,60,34,1000,1000000,100000
531,0.9,190,60,34,1000,1000000,100000
532,0.1,200,60,34,1000,1000000,100000
533,0.2,200,60,34,1000,1000000,100000
534,0.3,200,60,34,1000,1000000,100000
535,0.4,200,60,34,1000,1000000,100000
536,0.5,200,60,34,1000,1000000,100000
537,0.6,200,60,34,1000,1000000,100000
538,0.7,200,60,34,1000,1000000,100000
539,0.8,200,60,34,1000,1000000,100000
540,0.9,200,60,34,1000,1000000,100000
